Username,Categories,Suscribers,Country,Visits,Likes,Comments,Links
nhstudioz,Unknown,12600000.0,India,11500.0,77.0,3.0,http://youtube.com/channel/UCxtwjNPrymSvS4UD_6HgcxQ
QuantumTech,Science and Technology,12600000.0,United States,185300.0,2300.0,55.0,http://youtube.com/channel/UC4Tklxku1yPcRIH0VVCKoeA
DisneyChannelUK,"Movies, Humor",12600000.0,Unknown,19000.0,307.0,0.0,http://youtube.com/channel/UCLeuoGy_hUDTBf5Hk0ynrpQ
pocoyo,Unknown,12600000.0,Unknown,335000.0,2200.0,0.0,http://youtube.com/channel/UCnB5W_ZJgiDFnklejRGADxw
TroomTroom_Pt,Animation,12600000.0,Brazil,43700.0,971.0,14.0,http://youtube.com/channel/UCgCQlMYN2XypwYC2wcR32bA
GoldminesActionMovies,Unknown,12600000.0,Unknown,7900.0,139.0,0.0,http://youtube.com/channel/UCY7tB-mpvlQeWgaCCS1Cmwg
redbull,Sports,12600000.0,United States,1400000.0,52300.0,322.0,http://youtube.com/channel/UCblfuW_4rakIf2h6aqANefA
CHHOTUKIMASTI,Unknown,12600000.0,India,655600.0,5600.0,84.0,http://youtube.com/channel/UCPNH75wRbz-cO-W8732981A
parislifestyle7488,Unknown,12600000.0,India,517100.0,5100.0,345.0,http://youtube.com/channel/UCt_KDu-DtBqvIw7X-V7mlmQ
DRJRecordsspecials,Unknown,12600000.0,India,8900.0,46.0,1.0,http://youtube.com/channel/UCc3MkAZEckswe3SzdiVIvgA
colinfurze,Video Games,12600000.0,United States,1500000.0,69600.0,2600.0,http://youtube.com/channel/UCp68_FLety0O-n9QU6phsgw
justinflom,"Movies, Humor",12600000.0,United States,791700.0,18100.0,188.0,http://youtube.com/channel/UCb9A6uotqUiuVCvVp4GMqOg
PeopleVsFood,Food and Drink,12600000.0,United States,388300.0,14200.0,789.0,http://youtube.com/channel/UCHEf6T_gVq4tlW5i91ESiWg
RachitRojha,Unknown,12600000.0,India,1600000.0,38600.0,1100.0,http://youtube.com/channel/UCwBlZvRTu3vasTWUE9U5wPw
Baby_Jenny,"Movies, Toys",12500000.0,Unknown,18600.0,71.0,0.0,http://youtube.com/channel/UCoL0M9swO14BT8u9pTn9MvQ
hzhtubekidsfun,"Animation, Toys",12500000.0,Unknown,79000.0,1500.0,0.0,http://youtube.com/channel/UCAgx4HcQIYn9lM0rhtIuH9w
healthtime6469,Daily Vlogs,12500000.0,India,3300.0,115.0,4.0,http://youtube.com/channel/UCPMqs8vxEwbie26nFA3ykAw
LittleBabyBumEspanol,Unknown,12500000.0,Unknown,7200.0,18.0,0.0,http://youtube.com/channel/UCHicabXz9rUMWLcdMqBtbxQ
HeroMovies2023,Daily Vlogs,12500000.0,India,7100.0,215.0,2.0,http://youtube.com/channel/UCGzmSVjq_yQRgcgpA9SBTjw
CalvinHarrisVEVO,Music and Dance,12500000.0,United States,71300.0,3500.0,156.0,http://youtube.com/channel/UCaHNFIob5Ixv74f5on3lvIw
